ArtID;NavnDansk;LatArt
7703;baltisk hårstjerne;Syntrichia princeps
7704;spidsbladet hårstjerne;Syntrichia ruraliformis
7705;tag-hårstjerne;Syntrichia ruralis
7706;grøn hårstjerne;Syntrichia virescens
7707;trådmosslægten;Taxiphyllum
7708;tandet trådmos;Taxiphyllum wissgrillii
7709;firtandsfamilien;Tetraphidaceae
7710;firtandslægten;Tetraphis
7711;almindelig firtand;Tetraphis pellucida
7712;gulsporeslægten;Tetraplodon
7713;violet gulspore;Tetraplodon mnioides
7714;bækkostslægten;Thamnobryum
7715;mat bækkost;Thamnobryum alopecurum
7716;;Theliaceae
7717;;Thuidiaceae
7718;bregnemosslægten;Thuidium
7719;fingrenet bregnemos;Thuidium delicatulum
7720;spidsbladet bregnemos;Thuidium philibertii
7721;fjer-bregnemos;Thuidium recognitum
7722;pryd-bregnemos;Thuidium tamariscinum
7723;kærmosslægten;Tomenthypnum
7724;glinsende kærmos;Tomenthypnum nitens
7725;snobladslægten;Tortella
7726;sortgrøn snoblad;Tortella flavovirens
7727;skør snoblad;Tortella fragilis
7728;tyges snoblad;Tortella glareicola
7729;gul snoblad;Tortella inclinata
7730;kruset snoblad;Tortella tortuosa
7731;snotandslægten;Tortula
7732;mur-snotand;Tortula muralis
7733;syl-snotand;Tortula subulata
7734;;Tortula subulata var. angustata
7735;;Tortula subulata var. subulata
7736;tranehalsmosslægten;Trematodon
7737;syl-tranehalsmos;Trematodon ambiguus
7738;;Trichodon
7739;hårmundslægten;Trichostomum
7740;kyst-hårmund;Trichostomum brachydontium
7741;;Trichostomum brachydontium var. brachydontium
7742;;Trichostomum brachydontium var. littorale
7743;kruset hårmund;Trichostomum crispulum
7744;låddenhætteslægten;Ulota
7745;bruchs låddenhætte;Ulota bruchii
7746;oppustet låddenhætte;Ulota coarctata
7747;kruset låddenhætte;Ulota crispa
7748;krøllet låddenhætte;Ulota crispula
7749;holmens låddenhætte;Ulota drummondii
7750;retbladet låddenhætte;Ulota hutchinsiae
7751;stor låddenhætte;Ulota phyllantha
7752;buebladslægten;Warnstorfia
7753;rødlig bueblad;Warnstorfia exannulata
7754;vand-bueblad;Warnstorfia fluitans
7755;;Warnstorfia pseudostraminea
7756;schultzs bueblad;Warnstorfia schultzei
7757;krusmosslægten;Weissia
7758;smaltandet krusmos;Weissia controversa
7759;ler-krusmos;Weissia rostellata
7760;gulbørstet krusmos;Weissia rutilans
7761;køllemosslægten;Zygodon
7762;tand-køllemos;Zygodon conoideus
7763;almindelig køllemos;Zygodon rupestris
7764;grøn køllemos;Zygodon viridissimus
7765;art af lav;Lichenes sp.
7766;lav (ikke bæger- eller rensdyrlaver);Lichenes sp. (eksl. Cladonia sp., s.l.)
7767;art af bæger- og rensdyrlav;Cladonia sp., s.l.
7768;art af bægerlav;Cladonia sp., s.s.
7769;art af rensdyrlav;Cladina sp.
7770;spinkel rensdyrlav;Cladonia ciliata
7771;hede-rensdyrlav;Cladonia portentosa
7772;paddelegfamilien;Batrachospermaceae
7773;paddelegslægten;Batrachospermum
7774;paddeleg;Batrachospermum moniliforme
7775;;Batrachospermum vagum
7776;klotangfamilien;Ceramiaceae
7777;klotangslægten;Ceramium
7778;almindelig klotang;Ceramium nodulosum
7779;busket rødtråd;Ceramium strictum
7780;;Chaetomorpha
7781;krølhårstang;Chaetomorpha linum
7782;;Chaetophora
7783;hjortetaksalge;Chaetophora elegans
7784;;Chaetophoraceae
7785;kransnålealgeslægten;Chara
7786;ru kransnål;Chara aspera
7787;;Chara aspera var. aspera
7788;;Chara baltica 
7789;;Chara canescens
7790;;Chara connivens
7791;skør kransnål;Chara globularis
7792;;Chara globularis var. globularis
7793;kæmpe-kransnål;Chara hispida
7794;;Chara hispida var. hispida
7795;;Chara hispida var. major
7796;;Chara rudis
7797;tyk kransnål;Chara tomentosa 
7798;;Chara virgata
